team,number,qualified,penalty,fastest,total,1,2,3,4,5
labels,graph,,,,,Day 1: 10a-2p,Day 1: 2p-6p,Day 2: 9a–1p,Day 2: 1p-5p,Day 3: 9a–1p
labels,table,,,,,Day 0.5,Day 1,Day 1.5,Day 2,Day 2.5
Kentucky,3,✅,2,3:39,195,37,51,40,49,20
MIT,4,✅,1,3:15,208,51,42,53,53,10
Florida,5,,22,4:47,17,0,0,20,2,17
Berkeley,6,✅,2,4:07,193,43,49,41,41,21
Illinois State,17,,4,4:50,0,4,0,0,0,0
Illinois,22,✅,4,3:56,195,37,52,38,49,23
British Columbia,26,,4,4:43,33,0,0,19,14,4
Principia,32,✅,2,3:20,225,50,55,51,49,22
Georgia Tech,49,✅,2,4:20,142,43,41,38,22,0
Virginia,87,,0,4:53,10,0,0,0,0,10
ETS,101,✅,2,3:40,82,0,0,41,42,1
Western Michigan,786,,4,4:54,142,27,20,10,0,8
modified,7 July 2022 – 11:05am US Central,,,,,,,,,
